OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S002442263	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442264	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442265	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442266	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442267	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442268	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442269	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442270	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442271	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442272	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442274	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442275	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442276	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442277	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442278	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442279	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442280	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002442282	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002964305	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002964306	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S002964311	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003287500	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003287501	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003287502	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003287503	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
otu_S003302401	Legionella_pneumophila	0	0	0	0	0	pneumonia|legionnaires_disease	0
